block,timestamp,totalLiquidity.value,totalLiquidity.token.address,datatokenCount,fixedCount,nftCount,poolCount
29294398,1654646400,500.0,0x282d8efce846a88b159800bd4130ad77443fa1a1,5,1,5,1
29334792,1654732800,2680.059291566879,0x282d8efce846a88b159800bd4130ad77443fa1a1,10,1,13,4
29374804,1654819200,24881.62111892728,0x282d8efce846a88b159800bd4130ad77443fa1a1,28,5,31,5
29414245,1654905600,25932.628073743774,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29455400,1654992000,26802.628073743774,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29495953,1655078400,33208.62807374377,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29536016,1655164800,37614.973827329835,0x282d8efce846a88b159800bd4130ad77443fa1a1,37,9,40,5
29576783,1655251200,51571.65082732983,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29617176,1655337600,135351.00443958188,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29655731,1655424000,564167.5190948074,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29694828,1655510400,1081531.6986748253,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29732931,1655596800,1115863.1972012368,0x282d8efce846a88b159800bd4130ad77443fa1a1,51,12,54,8
29771639,1655683200,1436160.2174760613,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29808098,1655769600,1537165.6722882567,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,72,9
29847031,1655856000,1875754.8297682689,0x282d8efce846a88b159800bd4130ad77443fa1a1,57,12,77,9
29885980,1655942400,2046654.729797633,0x282d8efce846a88b159800bd4130ad77443fa1a1,58,12,78,9
29924701,1656028800,2190469.5383962067,0x282d8efce846a88b159800bd4130ad77443fa1a1,79,19,99,9
29962658,1656115200,2193775.1645669304,0x282d8efce846a88b159800bd4130ad77443fa1a1,84,20,104,9
29999144,1656201600,2305494.2634176225,0x282d8efce846a88b159800bd4130ad77443fa1a1,84,20,104,9
30038574,1656288000,2318959.5719853966,0x282d8efce846a88b159800bd4130ad77443fa1a1,84,20,104,9
30077156,1656374400,3134118.5312393936,0x282d8efce846a88b159800bd4130ad77443fa1a1,89,23,109,10
30116196,1656460800,3181046.770654113,0x282d8efce846a88b159800bd4130ad77443fa1a1,94,24,114,11
30154860,1656547200,3250177.669424552,0x282d8efce846a88b159800bd4130ad77443fa1a1,109,25,129,12
30194066,1656633600,3265771.8009642446,0x282d8efce846a88b159800bd4130ad77443fa1a1,117,25,137,12
30231863,1656720000,3214670.5488847247,0x282d8efce846a88b159800bd4130ad77443fa1a1,117,25,137,12
30269197,1656806400,3282146.0416424884,0x282d8efce846a88b159800bd4130ad77443fa1a1,121,26,141,15
30307869,1656892800,3256241.4364483827,0x282d8efce846a88b159800bd4130ad77443fa1a1,122,26,142,16
30346110,1656979200,3226067.9096068935,0x282d8efce846a88b159800bd4130ad77443fa1a1,137,40,157,17
30384255,1657065600,3593004.718487729,0x282d8efce846a88b159800bd4130ad77443fa1a1,146,44,166,18
30422351,1657152000,3643752.841010573,0x282d8efce846a88b159800bd4130ad77443fa1a1,160,46,180,26
