active,datatokenBalance,price,totalSwapValue,datatoken.cap,datatoken.holderCount,datatoken.orderCount,datatoken.symbol,datatoken.name,datatoken.publishMarketFeeAmount,datatoken.nft.name,datatoken.nft.transferable,datatoken.nft.symbol,datatoken.nft.owner,timestamp
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,ADROYS-75,Adroit Oyster Token,0,Acentrik Asset Management,True,AAMT-1C9BDCF2,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,2,0,115792089237316195423570985008687900000000000000000000000000,0,1,LACNAR-84,Lachrymose Narwhal Token,0,Acentrik Asset Management,True,AAMT-563486D1,0x168c6db5e9e26d1835c7d7c03f7946a8ea973b3b,1660003200
True,0,5,0,115792089237316195423570985008687900000000000000000000000000,0,0,ANTCUT-70,Antic Cuttlefish Token,0,Ocean Data NFT,True,OCEAN-NFT,0xd30dd83132f2227f114db8b90f565bca2832afbd,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,ENDBAR-11,Endemic Barnacle Token,0,Acentrik Asset Management,True,AAMT-F9CE006A,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,1,CONTUN-52,Contumacious Tuna Token,0,Acentrik Asset Management,True,AAMT-1C3753E9,0x168c6db5e9e26d1835c7d7c03f7946a8ea973b3b,1660003200
True,0,5,0,115792089237316195423570985008687900000000000000000000000000,0,1,JUDNAR-43,Judicious Narwhal Token,0,Ocean Data NFT,True,OCEAN-NFT,0xd30dd83132f2227f114db8b90f565bca2832afbd,1660003200
True,0,1,0,100000,0,0,PERPEN-5,Pernicious Penguin Token,0,Acentrik Asset Management,True,AAMT-DA2E6CBB,0xe11d05619d4e07f2549e6deaac8c29371dd0c1fa,1660003200
True,0,1,0,100000,0,0,DILSEA-83,Dilatory Seal Token,0,Acentrik Asset Management,True,AAMT-DA2E6CBB,0xa06711a568496e373b3c419020d8d8104efcd610,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,MOTHAD-21,Motivated Haddock Token,0,Acentrik Asset Management,True,AAMT-8D9857C8,0x168c6db5e9e26d1835c7d7c03f7946a8ea973b3b,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,STRNAR-8,Strident Narwhal Token,0,Acentrik Asset Management,True,AAMT-B1339B1F,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,MARCLA-10,Marvelous Clam Token,0,Ocean Data NFT,True,OCEAN-NFT,0x0363f3c31076a64b85ceb69a28f958a7c1181cee,1660003200
True,0,10,0,115792089237316195423570985008687900000000000000000000000000,0,0,COMPOR-66,Comely Porpoise Token,0,Acentrik Asset Management,True,AAMT-6345AD72,0xad1775d3c5e2cca9188502342848a1a011e3a428,1660003200
True,0,100,0,115792089237316195423570985008687900000000000000000000000000,0,0,RECPRA-24,Recalcitant Prawn Token,0,Acentrik Asset Management,True,AAMT-5FA1FC8E,0x1d35453a22ff09a88e17bb683febf3c536e9672d,1660003200
True,0,2,0,1000,0,0,DIDSTA-25,Didactic Starfish Token,0,Acentrik Asset Management,True,AAMT-271DE038,0x1aef750253b4954b42c980d99856d32474b2c3db,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,DETSHE-81,Determined Shell Token,0,Acentrik Asset Management,True,AAMT-62CD26BA,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,FRISHR-39,Friable Shrimp Token,0,Acentrik Asset Management,True,AAMT-1CBA2C95,0x1aef750253b4954b42c980d99856d32474b2c3db,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,ADAKRI-40,Adamant Krill Token,0,Acentrik Asset Management,True,AAMT-CA7B1317,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,2,0,1000,0,0,CAURAY-9,Caustic Ray Token,0,Acentrik Asset Management,True,AAMT-AF5ADF65,0x6d3968da311d0c2ffdb13623151415efd262f175,1660003200
True,0,399,0,115792089237316195423570985008687900000000000000000000000000,0,0,LUMSTA-92,Luminous Starfish Token,0,Acentrik Asset Management,True,AAMT-668B806B,0x2a07e2c840e04a5065e75d4ed25ae3506b9b6f87,1660003200
True,0,100,0,115792089237316195423570985008687900000000000000000000000000,0,0,RHANAU-19,Rhadamanthine Nautilus Token,0,Acentrik Asset Management,True,AAMT-1414416F,0x1d35453a22ff09a88e17bb683febf3c536e9672d,1660003200
True,0,5,0,115792089237316195423570985008687900000000000000000000000000,0,0,HEUKRI-49,Heuristic Krill Token,0,Ocean Data NFT,True,OCEAN-NFT,0xd30dd83132f2227f114db8b90f565bca2832afbd,1660003200
True,0,1,0,1000,0,2,PETSHE-42,Petulant Shell Token,0,Acentrik Asset Management,True,AAMT-F5447163,0x9bf750b5465a51689fa4235aac1f37ec692ef7b4,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,1,POWCOR-35,Powerful Coral Token,0,Acentrik Asset Management,True,AAMT-208C9D10,0x6d3968da311d0c2ffdb13623151415efd262f175,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,2,DELJEL-92,Delightful Jellyfish Token,0,Acentrik Asset Management,True,AAMT-7F5F3ED6,0x500db43ee6966e6213ba58eaf152da593eb7432e,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,BILCOR-67,Bilious Coral Token,0,Acentrik Asset Management,True,AAMT-EE2971BD,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,10,0,115792089237316195423570985008687900000000000000000000000000,0,0,HUBTUN-48,Hubristic Tuna Token,0,Acentrik Asset Management,True,AAMT-E76A4558,0x1d35453a22ff09a88e17bb683febf3c536e9672d,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,1,TREANE-74,Tremendous Anemone Token,0,Acentrik Asset Management,True,AAMT-0A965E4C,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,CONCOD-39,Contumacious Cod Token,0,Acentrik Asset Management,True,AAMT-731E349A,0x587fb5be9a055508210a623b3a66508c68345c5b,1660003200
True,0,5,0,115792089237316195423570985008687900000000000000000000000000,0,0,CALSTA-88,Calamitous Starfish Token,0,Ocean Data NFT,True,OCEAN-NFT,0xd30dd83132f2227f114db8b90f565bca2832afbd,1660003200
True,0,100,0,115792089237316195423570985008687900000000000000000000000000,0,0,ARCCOD-12,Arcadian Cod Token,0,Acentrik Asset Management,True,AAMT-5A6C9BC5,0x1d35453a22ff09a88e17bb683febf3c536e9672d,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,WONDOL-81,Wonderful Dolphin Token,0,Ocean Data NFT,True,OCEAN-NFT,0x275ab2f4e5dd3cb7aa8ec4f16a79f4023cc5f7ef,1660003200
True,0,5,0,115792089237316195423570985008687900000000000000000000000000,0,1,CONSHR-58,Contumacious Shrimp Token,0,Ocean Data NFT,True,OCEAN-NFT,0xd30dd83132f2227f114db8b90f565bca2832afbd,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,SMACOD-19,Smart Cod Token,0,Ocean Data NFT,True,OCEAN-NFT,0x197497afbc675730b9a912a29b4bf1d528f71f38,1660003200
True,0,1,0,1000,0,1,VOLPOR-45,Voluble Porpoise Token,0,Acentrik Asset Management,True,AAMT-1F4C35EA,0x6d3968da311d0c2ffdb13623151415efd262f175,1660003200
True,0,100,0,115792089237316195423570985008687900000000000000000000000000,0,0,DOWNAR-1,Dowdy Narwhal Token,0,Acentrik Asset Management,True,AAMT-A56ECACC,0x1d35453a22ff09a88e17bb683febf3c536e9672d,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,PENCOD-71,Pendulous Cod Token,0,Acentrik Asset Management,True,AAMT-53E4DFF2,0x9a3a4cdb2c2e992405e6934d967db1591430d416,1660003200
True,0,50,0,115792089237316195423570985008687900000000000000000000000000,0,0,DOWNAR-0,Dowdy Narwhal Token,0,Ocean Data NFT,True,OCEAN-NFT,0xda179069e1800c1420a3c82ca92dd04c5a0d017c,1660003200
True,0,33,0,115792089237316195423570985008687900000000000000000000000000,0,0,AMBSEA-75,Ambitious Seahorse Token,0,Ocean Data NFT,True,OCEAN-NFT,0x03ef3f422d429bcbd4ee5f77da2917a699f237ed,1660003200
True,0,100,0,115792089237316195423570985008687900000000000000000000000000,0,0,MENSHE-26,Mendacious Shell Token,0,Acentrik Asset Management,True,AAMT-069E8229,0x7783b1927e30e2f5abdfddd9ec84c17f4bb5a347,1660003200
True,0,1,0,115792089237316195423570985008687900000000000000000000000000,0,0,AMABAR-16,Amatory Barracuda Token,0,Acentrik Asset Management,True,AAMT-8B389F89,0x1aef750253b4954b42c980d99856d32474b2c3db,1660003200
